Title	Abbreviation	ISSN	EISSN	Bibliography	Citation
Clinical Pharmacokinetics	Clin Pharmacokinet	0312-5963	1179-1926	Vancouver	Numbered
Clinical Reviews in Bone and Mineral Metabolism	Clinic Rev Bone Miner Metab	1534-8644	1559-0119	Vancouver	Numbered
CNS Drugs	CNS Drugs	1172-7047	1179-1934	Vancouver	Numbered
Cognitive Computation	Cogn Comput	1866-9956	1866-9964	Vancouver	Numbered
Combination Products in Therapy	Comb Prod Ther	2195-5859	2190-9180	Vancouver	Numbered
Current Allergy and Asthma Reports	Curr Allergy Asthma Rep	1529-7322	1534-6315	Vancouver	Numbered
Current Anesthesiology Reports	Curr Anesthesiol Rep		2167-6275	Vancouver	Numbered
Current Atherosclerosis Reports	Curr Atheroscler Rep	1523-3804	1534-6242	Vancouver	Numbered
Current Bladder Dysfunction Reports	Curr Bladder Dysfunct Rep	1931-7212	1931-7220	Vancouver	Numbered
Current Breast Cancer Reports	Curr Breast Cancer Rep	1943-4588	1943-4596	Vancouver	Numbered
Current Cardiology Reports	Curr Cardiol Rep	1523-3782	1534-3170	Vancouver	Numbered
Current Cardiovascular Imaging Reports	Curr Cardiovasc Imaging Rep	1941-9066	1941-9074	Vancouver	Numbered
Current Cardiovascular Risk Reports	Curr Cardiovasc Risk Rep	1932-9520	1932-9563	Vancouver	Numbered
Current Colorectal Cancer Reports	Curr Colorectal Cancer Rep	1556-3790	1556-3804	Vancouver	Numbered
Current Dermatology Reports	Curr Derm Rep		2162-4933	Vancouver	Numbered
Current Diabetes Reports	Curr Diab Rep	1534-4827	1539-0829	Vancouver	Numbered
Current Emergency and Hospital Medicine Reports	Curr Emerg Hosp Med Rep		2167-4884	Vancouver	Numbered
Current Fungal Infection Reports	Curr Fungal Infect Rep	1936-3761	1936-377X	Vancouver	Numbered
Current Gastroenterology Reports	Curr Gastroenterol Rep	1522-8037	1534-312X	Vancouver	Numbered
Current Genetic Medicine Reports	Curr Genet Med Rep		2167-4876	Vancouver	Numbered
Current Heart Failure Reports	Curr Heart Fail Rep	1546-9530	1546-9549	Vancouver	Numbered
Current Hematologic Malignancy Reports	Curr Hematol Malig Rep	1558-8211	1558-822X	Vancouver	Numbered
Current Hepatitis Reports	Curr Hepatitis Rep	1540-3416	1541-0706	Vancouver	Numbered
Current HIV/AIDS Reports	Curr HIV/AIDS Rep	1548-3568	1548-3576	Vancouver	Numbered
Current Hypertension Reports	Curr Hypertens Rep	1522-6417	1534-3111	Vancouver	Numbered
Current Infectious Disease Reports	Curr Infect Dis Rep	1523-3847	1534-3146	Vancouver	Numbered
Current Neurology and Neuroscience Reports	Curr Neurol Neurosci Rep	1528-4042	1534-6293	Vancouver	Numbered
Current Nutrition Reports	Curr Nutr Rep		2161-3311	Vancouver	Numbered
Current Obesity Reports	Curr Obes Rep		2162-4968	Vancouver	Numbered
Current Obstetrics and Gynecology Reports	Curr Obstet Gynecol Rep		2161-3303	Vancouver	Numbered
Current Oncology Reports	Curr Oncol Rep	1523-3790	1534-6269	Vancouver	Numbered
Current Ophthalmology Reports	Curr Ophthalmol Rep		2167-4868	Vancouver	Numbered
Current Osteoporosis Reports	Curr Osteoporos Rep	1544-1873	1544-2241	Vancouver	Numbered
Current Otorhinolaryngology Reports	Curr Otorhinolaryngol Rep		2167-583X	Vancouver	Numbered
Current Pain and Headache Reports	Curr Pain Headache Rep 	1531-3433	1534-3081	Vancouver	Numbered
Current Pediatrics Reports	Curr Pediatr Rep		2167-4841	Vancouver	Numbered
Current Physical Medicine and Rehabilitation Reports	Curr Phys Med Rehabil Rep		2167-4833	Vancouver	Numbered
Current Psychiatry Reports	Curr Psychiatry Rep	1523-3812	1535-1645	Vancouver	Numbered
Current Radiology Reports	Curr Radiol Rep		2167-4825	Vancouver	Numbered
Current Respiratory Care Reports	Curr Respir Care Rep		2161-332X	Vancouver	Numbered
Current Reviews in Musculoskeletal Medicine	Curr Rev Musculoskelet Med	1935-973X	1935-9748	Vancouver	Numbered
Current Rheumatology Reports	Curr Rheumatol Rep	1523-3774	1534-6307	Vancouver	Numbered
Current Surgery Reports	Curr Surg Rep		2167-4817	Vancouver	Numbered
Current Translational Geriatrics and Gerontology Reports	Curr Tran Geriatr Gerontol Rep		2162-4941	Vancouver	Numbered
Current Treatment Options in Cardiovascular Medicine	Curr Treat Options Cardio Med	1092-8464	1534-3189	Vancouver	Numbered
Current Treatment Options in Neurology	Curr Treat Options Neurol	1092-8480	1534-3138	Vancouver	Numbered
Current Treatment Options in Oncology	Curr. Treat. Options in Oncol.	1527-2729	1534-6277	Vancouver	Numbered
Current Urology Reports	Curr Urol Rep	1527-2737	1534-6285	Vancouver	Numbered
Dermatology and Therapy	Dermatol Ther (Heidelb)	2193-8210	2190-9172	Vancouver	Numbered
Diabetes Therapy	Diabetes Ther	1869-6953	1869-6961	Vancouver	Numbered
Diabetology International	Diabetol Int	2190-1678	2190-1686	Vancouver	Numbered
Drug Delivery and Translational Research	Drug Deliv. and Transl. Res.	2190-393X	2190-3948	Vancouver	Numbered
Drug Safety	Drug Saf	0114-5916	1179-1942	Vancouver	Numbered
Drugs	Drugs	0012-6667	1179-1950	Vancouver	Numbered
Drugs & Aging	Drugs Aging	1170-229X	1179-1969	Vancouver	Numbered
Drugs & Therapy Perspectives	Drugs Ther Perspect	1172-0360	1179-1977	Vancouver	Numbered
Drugs in R&D	Drugs R D	1174-5886	1179-6901	Vancouver	Numbered
Dysphagia	Dysphagia	0179-051X	1432-0460	Vancouver	Numbered
Environmental Health and Preventive Medicine	Environ Health Prev Med	1342-078X	1347-4715	Vancouver	Numbered
Esophagus	Esophagus	1612-9059	1612-9067	Vancouver	Numbered
European Journal of Epidemiology	Eur J Epidemiol	0393-2990	1573-7284	Vancouver	Numbered
European Journal of Nuclear Medicine and Molecular Imaging	Eur J Nucl Med Mol Imaging	1619-7070	1619-7089	Vancouver	Numbered
European Journal of Trauma and Emergency Surgery	Eur J Trauma Emerg Surg	1863-9933	1863-9941	Vancouver	Numbered
European Surgery	Eur Surg	1682-8631	1682-4016	Vancouver	Numbered
Forensic Science, Medicine, and Pathology	Forensic Sci Med Pathol	1547-769X	1556-2891	Vancouver	Numbered
Gastric Cancer	Gastric Cancer	1436-3291	1436-3305	Vancouver	Numbered
General Thoracic and Cardiovascular Surgery	Gen Thorac Cardiovasc Surg 	1863-6705	1863-6713	Vancouver	Numbered
Giornale Italiano di Health Technology Assessment	G. Ital. Health Technol. Assess.	2035-3510	2035-6129	Vancouver	Numbered
HAND	HAND	1558-9447	1558-9455	Vancouver	Numbered
Head and Neck Pathology	Head and Neck Pathol	1936-055X	1936-0568	Vancouver	Numbered
Health and Technology	Health Technol.	2190-7188	2190-7196	Vancouver	Numbered
HeilberufeScience	HBScience		2190-2100	Vancouver	Numbered
Hepatology International	Hepatol Int	1936-0533	1936-0541	Vancouver	Numbered
High Blood Pressure & Cardiovascular Prevention	High Blood Press. Cardiovasc. Prev.	1120-9879	1179-1985	Vancouver	Numbered
Human Cell	Human Cell		1749-0774	Vancouver	Numbered
Immunologic Research	Immunol Res	0257-277X	1559-0755	Vancouver	Numbered
Indian  Journal of Gastroenterology	Indian J Gastroenterol	0254-8860	0975-0711	Vancouver	Numbered
Indian Journal of Clinical Biochemistry	Ind J Clin Biochem	0970-1915	0974-0422	Vancouver	Numbered
Indian Journal of Thoracic and Cardiovascular Surgery	Indian J Thorac Cardiovasc Surg	0970-9134	0973-7723	Vancouver	Numbered
Indian Journal of Virology	Indian J. Virol.	0970-2822	0974-0120	Vancouver	Numbered
Infection	Infection	0300-8126	1439-0973	Vancouver	Numbered
Infectious Diseases and Therapy	Infect Dis Ther	2193-8229	2193-6382	Vancouver	Numbered
Inflammation Research	Inflamm. Res.	1023-3830	1420-908X	Vancouver	Numbered
International Journal of Behavioral Medicine	Int.J. Behav. Med.	1070-5503	1532-7558	Vancouver	Numbered
International Journal of Clinical Pharmacy	Int J Clin Pharm	2210-7703	2210-7711	Vancouver	Numbered
International Journal of Diabetes in Developing Countries	Int J Diabetes Dev Ctries	0973-3930	1998-3832	Vancouver	Numbered
International Journal of Hematology	Int J Hematol	0925-5710	1865-3774	Vancouver	Numbered
international journal of stomatology & occlusion medicine	J. Stomat. Occ. Med.	1867-2221	1867-223X	Vancouver	Numbered
Japanese Journal of Ophthalmology	Jpn J Ophthalmol	0021-5155	1613-2246	Vancouver	Numbered
Japanese Journal of Radiology	Jpn J Radiol	1867-1071	1867-108X	Vancouver	Numbered
Journal of Anesthesia	J Anesth	0913-8668	1438-8359	Vancouver	Numbered
Journal of Artificial Organs	J Artif Organs	1434-7229	1619-0904	Vancouver	Numbered
Journal of Assisted Reproduction and Genetics	J Assist Reprod Genet	1058-0468	1573-7330	Vancouver	Numbered
Journal of Biorheology	J Biorheol	1867-0466	1867-0474	Vancouver	Numbered
Journal of Cachexia, Sarcopenia and Muscle	J Cachexia Sarcopenia Muscle	2190-5991	2190-6009	Vancouver	Numbered
Journal of Cancer Survivorship	J Cancer Surviv	1932-2259	1932-2267	Vancouver	Numbered
Journal of Clinical Immunology	J Clin Immunol	0271-9142	1573-2592	Vancouver	Numbered
Journal of Clinical Monitoring and Computing	J Clin Monit Comput	1387-1307	1573-2614	Vancouver	Numbered
Journal of Echocardiography	J Echocardiogr	1349-0222	1880-344X	Vancouver	Numbered
Journal of Gastroenterology	J Gastroenterol	0944-1174	1435-5922	Vancouver	Numbered
Journal of Gastrointestinal Cancer	J Gastrointest Canc	1941-6628	1941-6636	Vancouver	Numbered
Journal of Hepato-Biliary-Pancreatic Sciences	J Hepatobiliary Pancreat Sci	1868-6974	1868-6982	Vancouver	Numbered
Journal of Immigrant and Minority Health	J Immigrant Minority Health	1557-1912	1557-1920	Vancouver	Numbered
Journal of Infection and Chemotherapy	J Infect Chemother	1341-321X	1437-7780	Vancouver	Numbered
Journal of Mammary Gland Biology and Neoplasia	J Mammary Gland Biol Neoplasia	1083-3021	1573-7039	Vancouver	Numbered
Journal of Materials Science: Materials in Medicine	J Mater Sci: Mater Med	0957-4530	1573-4838	Vancouver	Numbered
Journal of Medical Ultrasonics	J Med Ultrasonics	1346-4523	1613-2254	Vancouver	Numbered
Journal of Occupational Rehabilitation	J Occup Rehabil	1053-0487	1573-3688	Vancouver	Numbered
Journal of Orthopaedic Science	J Orthop Sci	0949-2658	1436-2023	Vancouver	Numbered
Journal of Pharmaceutical Innovation	J Pharm Innov	1872-5120	1939-8042	Vancouver	Numbered
Journal of Thermal Analysis and Calorimetry	J Therm Anal Calorim	1388-6150	1572-8943	Vancouver	Numbered
Journal of Urban Health	J Urban Health	1099-3460	1468-2869	Vancouver	Numbered
Medical Oncology	Med Oncol	1357-0560	1559-131X	Vancouver	Numbered
memo - Magazine of European Medical Oncology	memo	1865-5041	1865-5076	Vancouver	Numbered
Modern Rheumatology	Mod Rheumatol	1439-7595	1439-7609	Vancouver	Numbered
Molecular Diagnosis & Therapy	Mol Diagn Ther	1177-1062	1179-2000	Vancouver	Numbered
Mycopathologia	Mycopathologia	0301-486X	1573-0832	Vancouver	Numbered
Netherlands Heart Journal	Neth Heart J	1568-5888	1876-6250	Vancouver	Numbered
Neurocritical Care	Neurocrit Care	1541-6933	1556-0961	Vancouver	Numbered
Neurology and Therapy	Neurol Ther	2193-8253	2193-6536	Vancouver	Numbered
neuropsychiatrie	Neuropsychiatr	0948-6259	2194-1327	Vancouver	Numbered
Nuclear Medicine and Molecular Imaging	Nucl Med Mol Imaging	1869-3474	1869-3482	Vancouver	Numbered
Obesity Surgery	OBES SURG	0960-8923	1708-0428	Vancouver	Numbered
Odontology	Odontology	1618-1247	1618-1255	Vancouver	Numbered
Ophthalmology and Therapy	Ophthalmol Ther	2193-8245	2193-6528	Vancouver	Numbered
Oral Radiology	Oral Radiol	0911-6028	1613-9674	Vancouver	Numbered
Pain and Therapy	Pain Ther	2193-8237	2193-651X	Vancouver	Numbered
Pediatric Drugs	Pediatr Drugs	1174-5878	1179-2019	Vancouver	Numbered
Perspectives on Medical Education	Perspect Med Educ	2212-2761	2212-277X	Vancouver	Numbered
Pharmaceutical Medicine	Pharm Med	1178-2595	1179-1993	Vancouver	Numbered
Pharmaceutical Research	Pharm Res	0724-8741	1573-904X	Vancouver	Numbered
PharmacoEconomics	PharmacoEconomics	1170-7690	1179-2027	Vancouver	Numbered
PharmacoEconomics German Research Articles	Pharmacoecon. Ger. Res. Artic.	1612-3727	1868-677X	Vancouver	Numbered
PharmacoEconomics Italian Research Articles	Pharmacoecon. Ital. Res. Artic.	1590-9158	2035-6137	Vancouver	Numbered
PharmacoEconomics Spanish Research Articles	Pharmacoecon. Span. Res. Artic.	1695-405X	1989-5453	Vancouver	Numbered
Publishing Research Quarterly	Pub Res Q	1053-8801	1936-4792	Vancouver	Numbered
Radiological Physics and Technology	Radiol Phys Technol 	1865-0333	1865-0341	Vancouver	Numbered
Rare Cancers and Therapy	Rare Cancers Ther	2195-6014	2195-6022	Vancouver	Numbered
Rare Metals	Rare Met.	1001-0521	1867-7185	Vancouver	Numbered
Reproductive Medicine and Biology	Reprod Med Biol	1445-5781	1447-0578	Vancouver	Numbered
Reviews in Endocrine and Metabolic Disorders	Rev Endocr Metab Disord	1389-9155	1573-2606	Vancouver	Numbered
Skeletal Radiology	Skeletal Radiol	0364-2348	1432-2161	Vancouver	Numbered
Spektrum der Augenheilkunde	Spektrum Augenheilkd.	0930-4282	1613-7523	Vancouver	Numbered
Sports Medicine	Sports Med	0112-1642	1179-2035	Vancouver	Numbered
Surgery Today	Surg Today	0941-1291	1436-2813	Vancouver	Numbered
The AAPS Journal	AAPS J		1550-7416	Vancouver	Numbered
The Cerebellum	Cerebellum	1473-4222	1473-4230	Vancouver	Numbered
The Indian Journal of Pediatrics	Indian J Pediatr	0019-5456	0973-7693	Vancouver	Numbered
The Journal of Obstetrics and Gynecology of India	J Obstet Gynecol India	0971-9202	0975-6434	Vancouver	Numbered
The Nucleus	Nucleus	0029-568X	0976-7975	Vancouver	Numbered
The Patient: Patient-Centered Outcomes Research	Patient	1178-1653	1178-1661	Vancouver	Numbered
Translational Stroke Research	Transl. Stroke Res.	1868-4483	1868-601X	Vancouver	Numbered
Tumor Biology	Tumor Biol.	1010-4283	1423-0380	Vancouver	Numbered
Wiener klinische Wochenschrift	Wien Klin Wochenschr	0043-5325	1613-7671	Vancouver	Numbered
Wiener klinische Wochenschrift Education	Wien. Klin. Wochenschr. Educ	1863-3579	1863-3765	Vancouver	Numbered
Wiener Medizinische Wochenschrift	Wien Med Wochenschr	0043-5341	1563-258X	Vancouver	Numbered
